location_type,climate_zone,household_size,monthly_income,electricity_kwh,natural_gas_kwh,lpg_kg,solar_kwh,renewable_energy_percent,car_km,car_fuel_efficiency,petrol_liters,diesel_liters,motorcycle_km,ev_km,ev_charging_kwh,public_transport_percent,bus_km,train_km,flight_hours,flight_distance_km,diet_type,beef_meals_month,dairy_servings_month,food_waste_kg,local_food_percent,total_waste_kg,recycled_waste_percent,composted_waste_percent,plastic_waste_kg,paper_waste_kg,home_size_sqft,ac_hours_month,heating_hours_month,shopping_trips_month,clothing_items_month,electronics_items_year,tree_planting_year,carbon_emission_kg
urban,hot,3.0,128349.74,422.68,38.17,5.97,0.0,9.45,0.0,16.81,0.0,0.0,0.0,0.0,0.0,54.98,265.53,43.25,5.66,4380.41,mixed,1.0,14.0,17.39,75.95,3.3,49.41,,0.76,0.47,943.33,236.92,1.13,5.0,7.0,2.0,1.0,1312.02
urban,moderate,4.0,41919.23,177.65,4.53,15.31,0.0,0.0,512.0,13.32,32.39,6.05,0.0,0.0,0.0,53.66,,15.09,2.0,1352.96,mixed,5.0,13.0,3.49,67.6,8.44,33.74,24.46,1.0,1.4,1870.03,36.87,3.21,1.0,5.0,1.0,1.0,648.18
urban,cool,4.0,58430.46,322.48,318.11,12.86,0.0,0.0,168.84,18.9,4.4,4.54,0.0,168.68,37.72,78.84,800.33,38.19,8.06,6285.25,mixed,4.0,23.0,4.04,84.89,13.93,70.7,51.43,,2.56,1267.87,21.15,54.14,0.0,3.0,0.0,1.0,1700.3
urban,hot,4.0,31899.46,315.78,7.95,7.6,0.0,0.0,323.5,15.21,11.53,9.73,568.26,0.0,0.0,7.8,37.45,101.27,1.06,,mixed,6.0,23.0,1.89,71.13,11.28,44.69,12.17,1.5,1.14,1230.42,79.53,2.12,0.0,2.0,1.0,,625.34
urban,moderate,2.0,24042.0,192.3,173.12,12.32,0.0,4.53,0.0,18.31,0.0,,389.46,0.0,0.0,40.96,77.18,135.11,0.26,206.4,non_vegetarian,5.0,20.0,2.33,78.48,13.6,65.89,21.17,2.94,1.68,1246.28,33.3,0.42,0.0,2.0,0.0,0.0,437.17
rural,cool,7.0,49783.82,331.06,218.06,12.19,0.0,5.7,,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.28,1.45,973.85,vegetarian,0.0,18.0,7.45,69.47,14.42,37.29,36.29,3.43,2.5,2393.39,16.71,39.24,1.0,4.0,0.0,1.0,602.02
suburban,moderate,4.0,65917.7,167.66,25.8,9.76,0.0,0.0,1874.79,14.55,84.18,44.63,353.04,0.0,0.0,3.87,8.54,76.48,0.64,519.99,mixed,5.0,18.0,4.63,,17.62,58.56,,3.79,1.74,1037.19,17.21,7.51,0.0,3.0,2.0,2.0,695.5
suburban,cool,2.0,79755.9,250.42,51.21,13.75,0.0,0.0,1072.44,14.03,48.38,28.05,0.0,0.0,0.0,27.92,18.66,9.72,12.86,8490.81,vegan,0.0,0.0,6.12,85.19,8.4,69.54,1.01,1.19,0.56,901.39,17.27,30.81,3.0,1.0,1.0,3.0,1923.35
urban,moderate,5.0,,455.03,,0.74,128.67,31.86,283.97,10.81,16.74,9.53,854.01,0.0,0.0,28.38,16.97,150.31,3.86,2897.24,vegetarian,0.0,17.0,8.57,32.31,13.11,96.57,48.76,1.87,1.44,1291.11,9.79,9.15,11.0,2.0,4.0,1.0,1024.89
urban,cool,1.0,42469.95,,569.57,,97.89,44.67,,13.31,0.0,0.0,102.3,0.0,0.0,40.58,202.42,72.01,1.02,678.37,non_vegetarian,,20.0,3.59,45.87,4.35,60.01,11.57,1.06,0.68,560.8,7.93,183.76,0.0,3.0,0.0,1.0,554.61
urban,hot,2.0,71484.93,347.26,15.94,14.54,0.0,0.0,0.0,12.91,0.0,0.0,0.0,293.14,44.79,20.2,38.83,101.41,0.63,513.42,vegetarian,,15.0,0.91,78.45,,51.61,17.18,0.95,0.91,1125.18,175.14,0.68,2.0,4.0,3.0,1.0,487.96
urban,moderate,3.0,52703.46,125.84,16.62,6.51,0.0,0.0,0.0,18.38,0.0,,0.0,0.0,0.0,30.9,103.05,229.16,1.24,1047.65,mixed,0.0,22.0,5.9,58.27,16.05,22.37,15.16,3.73,1.08,1296.13,28.54,2.18,3.0,1.0,1.0,1.0,418.64
urban,hot,2.0,54944.09,189.78,28.85,0.29,0.0,2.98,349.9,21.83,9.16,,0.0,0.0,0.0,68.57,110.2,139.13,2.7,1842.3,mixed,2.0,11.0,2.04,100.0,6.44,31.97,66.7,1.02,1.13,986.41,153.54,2.8,,3.0,3.0,2.0,660.61
suburban,hot,1.0,74042.28,134.96,28.34,2.76,0.0,0.0,200.81,17.69,5.65,5.7,835.67,0.0,0.0,27.16,142.04,13.47,4.31,3169.84,mixed,5.0,7.0,1.28,43.43,2.0,27.87,44.67,0.4,0.1,677.78,155.68,10.49,1.0,3.0,4.0,0.0,949.53
rural,moderate,4.0,56478.35,213.62,22.49,16.58,0.0,2.5,349.49,15.44,14.27,8.36,0.0,0.0,0.0,38.7,84.58,202.68,1.69,1166.87,vegan,0.0,0.0,18.92,33.51,43.31,70.58,,9.37,8.34,1448.41,17.23,3.95,2.0,2.0,1.0,,573.68
urban,hot,1.0,21824.04,201.91,21.18,19.11,159.92,78.88,172.41,10.29,8.02,8.74,114.55,0.0,0.0,28.04,127.48,31.07,2.08,1496.65,non_vegetarian,13.0,17.0,1.16,81.08,3.85,79.53,40.12,0.47,0.66,797.95,326.39,3.39,2.0,2.0,1.0,2.0,693.27
urban,hot,2.0,59636.91,241.69,165.46,11.83,0.0,15.22,0.0,9.99,0.0,0.0,0.0,0.0,0.0,73.14,430.25,307.78,1.05,849.8,mixed,2.0,20.0,1.03,82.69,10.95,51.96,55.19,1.16,1.34,1222.31,171.63,4.09,2.0,1.0,0.0,0.0,554.35
,cool,2.0,19053.6,272.35,378.95,10.49,0.0,2.7,0.0,13.82,0.0,0.0,0.0,0.0,0.0,45.29,510.57,41.42,0.87,734.07,mixed,2.0,15.0,1.72,87.36,16.05,72.28,38.32,,0.83,920.19,23.34,234.8,1.0,2.0,0.0,1.0,603.26
urban,hot,6.0,79076.06,190.02,49.85,2.04,255.37,100.0,217.0,14.94,6.85,7.67,0.0,0.0,0.0,31.13,46.96,,2.5,1759.28,non_vegetarian,8.0,24.0,11.23,44.49,48.9,48.2,8.98,7.14,3.77,1764.57,184.97,,4.0,1.0,2.0,0.0,625.34
urban,moderate,4.0,106089.25,157.12,65.62,24.71,,,264.6,13.37,15.09,4.7,0.0,,0.0,34.47,110.35,33.02,2.98,2058.62,mixed,2.0,14.0,3.18,87.78,26.18,66.48,53.37,4.15,,1423.95,2.96,3.68,4.0,3.0,2.0,1.0,723.85
urban,hot,1.0,56782.59,227.18,31.99,8.51,0.0,0.29,0.0,12.22,0.0,,242.9,0.0,0.0,61.43,209.63,240.52,1.39,1059.95,vegan,0.0,0.0,1.08,58.59,6.05,50.11,22.87,0.65,0.87,782.24,77.64,1.85,2.0,2.0,0.0,3.0,416.03
rural,moderate,3.0,137252.97,83.17,10.84,0.8,0.0,2.33,0.0,14.6,0.0,0.0,123.2,0.0,0.0,2.35,19.34,37.49,4.27,3339.16,mixed,0.0,18.0,2.6,34.9,15.02,64.58,19.51,2.81,0.95,923.72,20.59,6.65,6.0,3.0,2.0,2.0,797.5
suburban,hot,3.0,20433.0,96.4,49.43,5.65,0.0,0.0,406.03,18.3,15.25,6.94,0.0,0.0,0.0,13.12,15.97,185.69,4.09,3048.16,mixed,3.0,20.0,4.24,13.59,9.7,62.78,12.0,1.32,1.59,744.01,82.56,2.16,0.0,1.0,0.0,0.0,803.13
urban,moderate,1.0,87950.64,72.84,46.33,,0.0,0.0,678.06,10.61,51.31,12.58,0.0,0.0,0.0,38.28,462.77,47.88,2.22,1783.46,mixed,2.0,22.0,1.48,75.75,2.0,90.97,41.26,0.41,0.12,250.0,32.34,2.26,3.0,1.0,2.0,0.0,680.16
suburban,moderate,4.0,66603.93,135.2,28.73,6.63,232.5,100.0,408.57,14.27,19.92,8.71,0.0,0.0,0.0,31.67,379.28,60.29,3.01,2548.78,vegan,0.0,0.0,1.65,36.74,9.52,93.32,40.7,1.29,0.63,984.29,29.77,11.05,5.0,4.0,3.0,2.0,614.41
suburban,hot,,51066.58,357.43,68.7,9.15,0.0,0.0,598.44,18.71,20.29,11.69,293.51,0.0,0.0,17.64,,600.19,3.52,,non_vegetarian,4.0,15.0,0.31,31.26,12.97,28.61,52.84,2.56,1.45,921.42,186.88,4.56,2.0,1.0,3.0,0.0,1028.16
suburban,hot,5.0,69209.44,279.99,55.85,,0.0,0.0,0.0,12.13,0.0,0.0,615.51,0.0,0.0,12.35,38.43,,5.22,3877.68,non_vegetarian,7.0,26.0,13.24,12.28,32.11,68.63,5.22,7.34,4.66,1692.95,106.59,14.23,0.0,3.0,0.0,1.0,1164.34
suburban,cool,,47117.22,299.33,270.3,10.02,339.64,100.0,268.08,19.61,7.75,5.93,349.64,0.0,0.0,26.88,48.69,215.37,0.87,637.18,non_vegetarian,4.0,17.0,8.56,49.34,54.88,51.83,14.09,4.48,3.87,1844.88,49.82,44.99,0.0,0.0,0.0,0.0,441.67
urban,moderate,1.0,22691.68,89.55,26.46,6.65,133.05,100.0,0.0,11.7,0.0,0.0,2437.95,625.99,89.43,39.29,,55.9,6.55,5392.99,mixed,9.0,17.0,0.35,45.96,3.2,58.14,23.01,0.41,0.6,861.06,27.43,28.58,1.0,1.0,0.0,2.0,1361.88
suburban,hot,4.0,82191.51,814.72,31.78,4.94,167.26,22.17,0.0,17.23,0.0,0.0,270.75,0.0,0.0,8.62,16.34,69.8,2.38,1897.33,,3.0,27.0,5.54,48.82,2.02,44.06,31.28,0.33,0.15,1590.82,154.52,8.77,3.0,0.0,2.0,0.0,995.27
rural,cool,4.0,169555.41,422.99,400.88,12.92,156.44,32.26,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,91.21,1.01,853.07,mixed,1.0,25.0,16.11,75.42,26.53,48.23,23.09,,2.99,1439.49,19.63,177.9,3.0,6.0,2.0,0.0,655.6
suburban,moderate,3.0,26996.57,219.2,264.2,13.67,105.45,44.5,814.04,17.01,38.69,9.18,376.0,0.0,0.0,32.63,106.64,21.22,2.3,1852.31,mixed,2.0,16.0,1.46,86.11,20.53,83.31,3.73,3.5,2.35,778.83,22.52,2.76,0.0,1.0,1.0,1.0,713.9
urban,hot,4.0,14401.35,288.87,12.04,14.58,0.0,,0.0,13.34,0.0,0.0,0.0,,0.0,51.65,126.71,219.87,1.39,1047.35,vegetarian,0.0,20.0,0.22,42.45,27.79,65.36,31.24,3.6,1.71,1413.31,240.7,8.77,0.0,1.0,1.0,3.0,512.33
rural,hot,6.0,32042.66,408.61,39.42,5.98,169.45,45.29,345.3,15.87,14.24,7.52,229.07,,0.0,15.2,48.18,21.51,0.92,757.34,vegan,0.0,0.0,8.71,69.98,17.68,21.64,46.11,1.62,2.62,1952.31,88.91,11.41,4.0,0.0,0.0,1.0,440.27
urban,hot,,39111.03,283.07,62.4,2.63,0.0,0.0,0.0,15.61,0.0,0.0,0.0,0.0,0.0,44.32,596.37,555.7,1.96,1645.15,mixed,6.0,21.0,8.96,40.53,24.64,31.44,21.94,4.32,4.87,983.18,,4.74,0.0,0.0,1.0,,770.54
suburban,moderate,4.0,122645.69,315.58,17.93,9.22,130.65,38.23,752.55,18.01,26.57,15.22,0.0,0.0,0.0,37.16,110.45,93.89,,2906.91,vegan,0.0,0.0,7.19,75.7,14.32,62.71,29.41,2.38,1.19,1563.8,10.47,0.41,4.0,5.0,2.0,1.0,853.93
urban,hot,3.0,77591.02,192.45,34.51,15.52,0.0,0.0,0.0,12.75,0.0,0.0,0.0,0.0,0.0,46.51,123.47,29.82,0.78,534.91,mixed,4.0,21.0,3.09,30.11,23.47,74.14,7.83,5.08,3.07,1155.42,61.86,2.11,,2.0,3.0,3.0,424.44
urban,,2.0,42448.09,90.54,143.99,7.11,0.0,5.48,0.0,13.57,0.0,0.0,1119.04,0.0,0.0,54.14,67.54,201.52,4.31,3224.97,vegetarian,0.0,28.0,4.55,94.69,5.54,63.27,32.97,0.9,0.95,1023.67,18.16,61.66,3.0,4.0,1.0,0.0,928.23
rural,hot,2.0,27088.25,230.94,48.99,2.34,0.0,10.07,0.0,12.87,0.0,0.0,199.51,0.0,0.0,11.64,33.39,61.58,0.87,732.4,mixed,0.0,16.0,5.16,40.98,10.88,51.93,23.42,1.32,1.97,1110.29,78.62,0.48,1.0,1.0,1.0,0.0,423.07
suburban,moderate,2.0,17820.17,127.01,6.7,11.49,0.0,0.0,0.0,20.34,0.0,,0.0,0.0,0.0,32.86,122.77,122.52,0.73,591.83,vegan,0.0,0.0,2.32,27.79,9.47,60.69,46.73,1.31,1.29,250.0,6.51,0.03,0.0,2.0,1.0,0.0,286.2
,hot,5.0,241828.94,241.8,211.24,4.48,0.0,3.42,818.04,20.43,25.71,14.32,0.0,175.98,30.38,21.87,148.81,26.55,9.96,6696.83,vegetarian,0.0,27.0,9.92,64.45,7.72,58.54,32.93,0.69,0.86,1289.41,233.19,5.35,5.0,3.0,7.0,0.0,1665.65
rural,moderate,1.0,89737.06,154.05,20.26,2.5,129.46,77.9,102.17,10.51,6.41,3.3,61.17,0.0,0.0,19.68,95.13,85.84,0.2,171.32,vegetarian,0.0,,0.38,43.13,2.57,72.57,6.06,0.53,0.24,573.94,,3.73,4.0,3.0,1.0,1.0,132.05
suburban,hot,1.0,9075.0,243.02,27.89,4.36,0.0,2.97,775.34,19.29,26.94,13.25,148.53,0.0,0.0,11.67,12.47,99.65,5.35,4183.17,vegan,0.0,0.0,0.91,71.54,7.29,65.51,14.69,1.26,0.59,405.81,99.57,1.79,1.0,4.0,2.0,1.0,1090.71
urban,hot,1.0,55390.21,90.63,40.82,26.51,0.0,0.0,578.54,16.84,28.2,6.16,0.0,0.0,0.0,78.9,343.96,93.71,0.77,527.68,mixed,3.0,31.0,2.94,33.15,2.0,60.47,47.64,0.19,0.33,872.67,114.99,,8.0,2.0,4.0,1.0,491.53
urban,hot,4.0,8000.0,328.24,63.12,6.33,0.0,0.0,0.0,17.89,0.0,0.0,272.97,0.0,0.0,18.5,79.12,296.9,3.25,2679.57,mixed,1.0,18.0,4.35,84.1,37.72,89.74,39.6,3.99,7.26,1277.66,101.65,9.52,2.0,1.0,1.0,1.0,925.65
suburban,cool,1.0,51318.77,175.06,149.46,13.41,0.0,0.0,609.18,12.93,30.24,16.88,0.0,0.0,0.0,33.91,251.47,59.79,0.81,639.68,vegetarian,0.0,16.0,1.7,29.52,2.0,43.41,21.5,0.24,0.13,729.64,7.68,236.43,1.0,3.0,0.0,0.0,540.46
urban,hot,6.0,27304.1,301.12,17.91,5.85,0.0,5.77,478.2,11.55,22.24,19.16,331.16,0.0,0.0,59.85,592.8,114.55,2.12,1448.82,non_vegetarian,8.0,20.0,2.29,37.73,32.73,74.81,16.21,4.14,3.22,1475.61,127.19,14.07,0.0,4.0,0.0,0.0,867.13
suburban,cool,7.0,49558.79,522.59,95.76,7.3,0.0,0.0,0.0,19.86,0.0,0.0,192.32,0.0,0.0,44.84,78.92,55.93,20.37,14040.32,vegetarian,0.0,16.0,11.83,41.31,8.1,60.57,54.74,1.45,0.72,1536.94,47.83,147.6,1.0,0.0,1.0,1.0,2945.0
suburban,moderate,2.0,68378.73,205.34,1.11,2.8,0.0,0.0,257.66,15.04,12.9,4.23,0.0,0.0,0.0,51.72,228.35,7.65,0.15,108.28,mixed,5.0,24.0,0.49,81.2,10.44,40.33,25.13,0.92,1.16,803.24,22.81,1.77,0.0,4.0,1.0,,295.47
suburban,moderate,1.0,34612.49,80.94,136.86,10.26,0.0,1.04,328.93,17.09,15.46,3.79,0.0,,0.0,3.18,,17.98,13.37,9481.76,mixed,3.0,24.0,1.33,84.97,6.92,81.83,19.42,0.67,0.44,421.79,15.57,36.13,0.0,2.0,0.0,0.0,1867.5
urban,moderate,7.0,25465.95,487.18,6.92,15.62,265.51,49.39,310.14,16.99,12.28,5.98,160.55,0.0,0.0,44.12,102.2,8.35,2.19,1799.07,vegan,0.0,0.0,12.11,59.11,28.94,83.28,31.23,6.61,1.98,1984.43,7.56,0.88,0.0,1.0,1.0,1.0,682.07
rural,cool,2.0,16203.59,172.03,147.09,3.92,354.37,100.0,665.23,14.51,33.32,12.53,295.15,0.0,0.0,16.31,58.38,20.96,0.48,331.91,mixed,2.0,26.0,1.28,55.28,6.75,57.74,18.1,0.83,,627.93,4.53,43.05,0.0,2.0,0.0,0.0,235.78
urban,hot,3.0,82126.27,277.93,157.75,6.4,0.0,0.0,0.0,15.75,0.0,0.0,0.0,0.0,0.0,31.36,73.3,14.78,8.16,,mixed,3.0,15.0,0.76,43.47,6.96,66.94,19.1,1.11,0.41,1181.31,205.68,3.85,4.0,,3.0,0.0,1563.19
urban,hot,4.0,33071.76,361.76,4.36,,0.0,0.0,766.95,13.49,28.74,28.1,508.2,0.0,0.0,75.48,222.84,80.51,1.5,1163.61,non_vegetarian,9.0,22.0,4.88,60.1,20.87,,37.29,2.23,2.17,1128.71,151.15,3.25,2.0,3.0,2.0,3.0,804.78
urban,moderate,4.0,97831.45,215.89,86.93,3.4,0.0,0.0,0.0,16.64,0.0,0.0,70.77,0.0,0.0,42.44,371.7,103.74,0.58,382.2,mixed,6.0,22.0,1.68,66.47,3.65,94.18,22.23,0.79,0.56,1145.04,29.68,0.03,2.0,2.0,4.0,1.0,428.61
urban,hot,5.0,24718.81,338.92,19.48,3.56,146.59,47.03,598.18,10.43,34.18,23.16,0.0,431.23,87.0,39.93,301.78,70.67,4.26,2929.24,mixed,4.0,15.0,8.15,52.06,19.33,40.31,37.29,3.04,3.59,1330.93,171.24,21.39,2.0,1.0,1.0,2.0,1063.96
urban,moderate,3.0,207256.32,240.49,29.96,13.32,0.0,1.1,0.0,9.08,0.0,0.0,188.04,0.0,0.0,38.19,171.85,31.18,1.99,1536.99,mixed,1.0,21.0,2.62,44.83,17.95,86.64,50.77,4.29,1.79,1099.58,27.81,13.0,7.0,4.0,,0.0,657.58
rural,moderate,3.0,22383.94,235.4,8.13,3.01,0.0,3.23,0.0,17.66,0.0,0.0,268.53,0.0,0.0,17.22,17.22,48.17,2.24,1507.83,vegan,,0.0,,75.24,9.46,75.07,46.71,1.64,1.25,687.08,14.73,0.01,1.0,0.0,1.0,0.0,498.95
urban,moderate,7.0,64611.84,391.69,43.22,5.43,0.0,0.0,162.23,12.98,10.12,2.38,793.91,0.0,0.0,43.69,87.7,14.0,1.75,1242.47,mixed,2.0,25.0,11.4,60.04,44.24,73.35,14.26,10.54,7.58,1654.69,11.63,10.33,1.0,3.0,3.0,1.0,749.06
urban,hot,3.0,137708.0,206.24,46.27,13.82,160.86,77.11,0.0,14.93,0.0,0.0,0.0,0.0,0.0,72.19,103.99,35.99,2.36,1787.92,mixed,2.0,25.0,2.63,85.08,17.43,35.28,29.05,2.68,2.41,1244.34,37.99,0.14,6.0,3.0,1.0,1.0,564.01
urban,moderate,2.0,14877.69,205.6,33.0,3.2,0.0,0.0,0.0,12.01,0.0,0.0,25.51,0.0,0.0,54.58,177.64,323.1,2.25,1588.04,mixed,4.0,20.0,0.32,66.76,9.75,33.38,23.4,2.38,1.57,727.65,10.87,30.2,1.0,6.0,0.0,1.0,605.86
urban,hot,2.0,17942.12,188.59,,9.86,0.0,0.0,437.24,,20.24,6.4,159.46,0.0,0.0,39.9,194.69,167.33,0.64,507.24,non_vegetarian,5.0,22.0,4.46,31.27,8.43,7.97,11.03,1.64,0.72,,132.45,3.69,3.0,2.0,0.0,0.0,557.18
suburban,moderate,5.0,114604.06,185.55,5.66,8.68,0.0,0.0,930.54,20.23,36.11,9.89,0.0,479.88,70.91,,83.58,40.99,1.81,1403.19,mixed,2.0,22.0,8.96,56.3,21.6,28.36,34.22,5.4,1.38,1954.65,12.1,2.04,1.0,1.0,3.0,2.0,693.1
urban,moderate,2.0,64822.74,155.39,,7.05,0.0,1.11,284.63,11.35,15.81,9.27,0.0,0.0,0.0,56.05,154.74,31.0,0.19,131.66,mixed,2.0,19.0,8.98,77.32,20.13,69.94,33.06,3.57,2.89,1170.59,20.56,1.96,1.0,3.0,3.0,1.0,361.22
urban,hot,6.0,22781.85,284.17,7.52,5.36,0.0,1.32,0.0,12.0,0.0,0.0,0.0,0.0,0.0,15.15,46.9,53.17,1.65,1358.19,non_vegetarian,2.0,,26.4,46.72,18.07,8.57,52.6,3.11,,1349.33,245.32,9.7,0.0,1.0,0.0,1.0,687.81
suburban,cool,5.0,21729.86,289.92,252.2,10.34,0.0,0.0,0.0,13.03,0.0,0.0,0.0,0.0,0.0,11.75,16.94,28.32,1.92,1462.35,,6.0,16.0,8.18,61.0,5.2,71.15,43.81,0.87,0.92,688.39,45.5,,1.0,1.0,0.0,1.0,718.69
rural,cool,6.0,47570.03,265.93,234.52,7.94,0.0,1.35,830.44,,48.91,8.84,284.4,0.0,0.0,11.94,28.34,251.54,4.74,3910.29,vegetarian,0.0,12.0,19.0,54.32,17.89,86.91,37.12,1.44,1.81,1694.12,23.13,142.76,1.0,4.0,0.0,0.0,1347.87
urban,hot,3.0,23987.07,234.3,35.9,11.57,0.0,0.0,302.25,13.43,13.18,9.33,,830.28,129.67,25.84,86.36,58.95,4.47,3540.71,vegetarian,0.0,28.0,3.71,55.33,15.92,,39.12,2.45,1.33,1164.01,253.97,1.67,,2.0,1.0,0.0,1066.65
urban,moderate,1.0,12137.27,84.92,76.98,14.14,0.0,0.0,1084.55,16.97,35.16,28.77,157.75,0.0,0.0,39.93,58.33,81.23,1.53,1151.76,mixed,6.0,13.0,1.5,46.1,9.71,69.09,38.89,2.07,0.63,1026.52,21.09,5.04,0.0,1.0,0.0,1.0,576.03
rural,moderate,5.0,89674.06,245.17,7.22,20.05,0.0,0.0,94.7,21.89,2.44,1.89,374.26,0.0,0.0,38.19,52.13,306.8,0.52,386.82,vegetarian,0.0,21.0,4.48,80.85,38.65,57.72,7.3,6.85,5.82,1005.27,4.12,0.18,3.0,4.0,1.0,2.0,415.67
suburban,hot,4.0,58473.02,304.86,69.26,3.8,0.0,0.0,390.87,16.91,11.92,11.2,98.43,187.5,36.98,9.22,42.14,89.95,1.28,979.96,vegetarian,0.0,23.0,1.83,58.47,9.82,83.59,21.78,2.18,1.03,1128.24,105.72,1.66,1.0,2.0,4.0,0.0,595.6
urban,hot,5.0,76133.42,207.71,31.27,3.2,0.0,0.11,514.12,12.49,33.65,7.5,152.93,0.0,0.0,32.51,59.57,214.73,3.34,2273.51,vegetarian,0.0,15.0,8.0,100.0,30.33,48.22,18.91,5.54,4.12,1317.36,160.76,1.22,0.0,2.0,0.0,0.0,801.07
urban,cool,2.0,49780.59,186.13,512.13,,298.0,100.0,567.39,16.05,20.32,15.02,289.53,,0.0,55.15,241.72,73.02,0.75,604.39,non_vegetarian,3.0,19.0,3.3,36.01,9.39,84.48,3.02,2.0,1.71,974.57,22.63,98.05,1.0,1.0,2.0,1.0,464.21
urban,cool,5.0,36813.27,161.76,142.49,4.02,89.06,,0.0,14.5,0.0,0.0,0.0,0.0,0.0,25.11,118.69,62.72,0.82,583.92,vegetarian,0.0,21.0,4.96,54.7,2.84,57.16,11.91,0.41,0.43,1403.13,4.72,133.68,0.0,2.0,,2.0,287.89
urban,moderate,2.0,37942.44,180.72,57.08,,0.0,8.53,0.0,16.63,0.0,0.0,,0.0,0.0,27.06,,323.22,1.15,926.71,mixed,3.0,21.0,2.44,33.83,8.83,58.93,26.54,1.85,1.69,832.86,12.11,0.31,1.0,2.0,1.0,0.0,471.04
urban,hot,2.0,50146.72,460.1,9.37,5.16,0.0,0.0,0.0,15.56,0.0,0.0,0.0,0.0,0.0,52.16,154.05,186.6,3.53,2653.74,mixed,2.0,17.0,7.03,24.19,8.37,81.95,5.55,1.77,0.76,359.94,94.47,1.94,0.0,1.0,3.0,1.0,904.12
rural,hot,1.0,29135.85,157.57,62.38,7.51,0.0,0.0,0.0,11.45,0.0,0.0,789.98,0.0,0.0,13.01,39.32,78.23,13.47,9953.68,mixed,3.0,16.0,2.75,62.07,3.54,71.99,33.28,0.42,0.55,384.17,153.49,1.33,1.0,4.0,2.0,1.0,2137.21
urban,hot,1.0,27677.69,,81.48,5.86,0.0,0.0,160.62,14.01,7.09,4.38,61.02,874.05,173.29,68.98,79.72,11.6,1.76,1222.78,mixed,3.0,21.0,,29.43,5.15,59.9,49.16,1.03,0.91,1169.48,109.47,2.69,2.0,2.0,0.0,0.0,648.19
rural,hot,1.0,27469.01,253.83,32.55,1.05,0.0,0.0,0.0,22.92,0.0,0.0,231.98,0.0,0.0,13.03,14.72,132.78,13.2,8627.83,mixed,4.0,16.0,2.56,71.7,2.07,61.45,,0.36,0.3,719.62,159.36,1.34,1.0,1.0,0.0,0.0,1894.82
rural,hot,3.0,81127.75,196.31,45.01,9.25,0.0,0.01,792.62,,24.35,27.2,348.21,0.0,0.0,63.45,414.29,121.73,2.66,1945.79,mixed,6.0,22.0,9.86,24.33,5.51,84.97,25.24,0.91,0.7,1387.08,192.41,1.25,3.0,3.0,0.0,1.0,834.71
urban,hot,4.0,74691.85,506.71,18.91,3.06,358.58,74.88,453.97,15.36,15.51,14.05,61.57,0.0,0.0,75.14,195.02,337.28,6.12,5055.51,vegan,0.0,0.0,0.85,31.79,47.34,70.15,23.25,6.61,3.38,1404.56,153.57,1.0,4.0,1.0,3.0,2.0,1259.4
rural,hot,2.0,158649.28,171.56,31.99,11.43,0.0,0.0,0.0,16.44,0.0,0.0,225.97,,38.62,33.91,50.13,171.89,2.36,1636.21,mixed,4.0,17.0,0.57,69.42,5.27,38.34,41.39,1.04,1.04,761.96,106.78,5.33,9.0,8.0,1.0,1.0,655.17
suburban,hot,6.0,25742.57,596.27,6.24,5.58,0.0,0.0,365.57,14.01,14.79,11.3,136.3,338.53,65.66,45.06,42.49,21.18,0.5,350.26,mixed,,23.0,1.33,28.25,22.13,85.87,6.15,3.81,3.14,1700.0,114.99,1.77,0.0,1.0,2.0,1.0,729.17
,moderate,1.0,62822.86,107.56,17.96,17.27,371.79,100.0,0.0,15.49,0.0,0.0,0.0,0.0,0.0,14.75,54.09,197.03,1.45,1041.17,mixed,,19.0,0.41,58.05,4.23,65.46,10.19,0.46,0.67,801.54,17.79,1.84,1.0,6.0,1.0,3.0,183.84
urban,moderate,1.0,217569.22,117.6,71.55,18.6,0.0,8.95,375.22,18.72,11.13,8.91,198.9,0.0,,37.22,122.92,17.86,12.46,8678.06,mixed,3.0,28.0,2.5,61.32,9.2,88.66,6.88,1.54,0.79,638.66,26.43,0.01,6.0,6.0,2.0,0.0,2091.91
suburban,hot,6.0,26464.89,372.46,10.48,1.55,0.0,4.91,431.2,13.66,21.59,9.96,0.0,0.0,0.0,16.22,169.53,183.45,13.5,8933.27,mixed,3.0,22.0,8.04,79.96,25.1,48.92,18.47,5.04,1.83,1117.01,244.44,5.94,0.0,3.0,0.0,1.0,2171.99
rural,hot,4.0,82820.02,206.75,28.72,7.9,168.71,76.14,0.0,15.23,0.0,0.0,69.27,0.0,0.0,31.75,69.63,265.15,2.51,1635.75,vegetarian,0.0,25.0,6.83,51.19,20.84,87.35,46.93,3.03,2.84,837.81,93.71,4.06,1.0,,0.0,1.0,424.57
urban,moderate,2.0,18470.67,249.01,42.72,15.23,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,26.85,60.53,463.65,2.53,1699.07,vegetarian,0.0,10.0,1.78,54.06,9.99,69.55,35.72,1.15,1.92,467.16,5.75,1.32,4.0,2.0,1.0,2.0,588.65
